category_id,category_name,parent_id,parent_name,root_id,root_name,path
28982,"Madison County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Madison County, MT"
28983,"McCone County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > McCone County, MT"
28984,"Meagher County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Meagher County, MT"
28985,"Mineral County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Mineral County, MT"
28986,"Missoula County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Missoula County, MT"
28987,"Musselshell County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Musselshell County, MT"
28988,"Park County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Park County, MT"
28989,"Petroleum County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Petroleum County, MT"
28990,"Phillips County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Phillips County, MT"
28991,"Pondera County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Pondera County, MT"
28992,"Powder River County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Powder River County, MT"
28993,"Powell County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Powell County, MT"
28994,"Prairie County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Prairie County, MT"
28995,"Ravalli County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Ravalli County, MT"
28996,"Richland County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Richland County, MT"
28997,"Roosevelt County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Roosevelt County, MT"
28998,"Rosebud County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Rosebud County, MT"
28999,"Sanders County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Sanders County, MT"
29000,"Sheridan County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Sheridan County, MT"
29001,"Silver Bow County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Silver Bow County, MT"
29002,"Stillwater County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Stillwater County, MT"
29003,"Sweet Grass County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Sweet Grass County, MT"
29004,"Teton County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Teton County, MT"
29005,"Toole County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Toole County, MT"
29006,"Treasure County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Treasure County, MT"
29007,"Valley County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Valley County, MT"
29008,"Wheatland County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Wheatland County, MT"
29009,"Wibaux County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Wibaux County, MT"
29010,"Yellowstone County, MT",28954,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > Counties > Yellowstone County, MT"
30771,MSAs,27308,Montana,3008,U.S. Regional Data,U.S. Regional Data > States > Montana > MSAs
30772,"Billings, MT",30771,MSAs,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > MSAs > Billings, MT"
30773,"Great Falls, MT",30771,MSAs,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > MSAs > Great Falls, MT"
30774,"Missoula, MT",30771,MSAs,3008,U.S. Regional Data,"U.S. Regional Data > States > Montana > MSAs > Missoula, MT"
27309,Nebraska,27281,States,3008,U.S. Regional Data,U.S. Regional Data > States > Nebraska
29012,Counties,27309,Nebraska,3008,U.S. Regional Data,U.S. Regional Data > States > Nebraska > Counties
29013,"Adams County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Adams County, NE"
