category_id,category_name,parent_id,parent_name,root_id,root_name,path
33589,Construction,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Construction
33591,Educational Services,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Educational Services
33590,Finance and Insurance,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Finance and Insurance
33593,Health Care and Social Assistance,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Health Care and Social Assistance
33592,Information,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Information
33597,Manufacturing,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Manufacturing
33596,"Mining, Quarrying, and Oil and Gas Extraction",33584,Industry Based,32455,Prices,"Prices > Producer Price Indexes (PPI) > Industry Based > Mining, Quarrying, and Oil and Gas Extraction"
33594,Other Services (except Public Administration),33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Other Services (except Public Administration)
33599,"Professional, Scientific, and Technical Services",33584,Industry Based,32455,Prices,"Prices > Producer Price Indexes (PPI) > Industry Based > Professional, Scientific, and Technical Services"
33595,Public Administration,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Public Administration
33598,Real Estate and Rental and Leasing,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Real Estate and Rental and Leasing
33600,Retail Trade,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Retail Trade
33601,Transportation and Warehousing,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Transportation and Warehousing
33602,Utilities,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Utilities
33603,Wholesale Trade,33584,Industry Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Industry Based > Wholesale Trade
32220,Trade Indexes,32455,Prices,32455,Prices,Prices > Trade Indexes
32221,Import Price Indexes,32220,Trade Indexes,32455,Prices,Prices > Trade Indexes > Import Price Indexes
32223,End Use Classification System,32221,Import Price Indexes,32455,Prices,Prices > Trade Indexes > Import Price Indexes > End Use Classification System
32229,By Harmonized System,32221,Import Price Indexes,32455,Prices,Prices > Trade Indexes > Import Price Indexes > By Harmonized System
32226,By NAICS,32221,Import Price Indexes,32455,Prices,Prices > Trade Indexes > Import Price Indexes > By NAICS
32230,By Locality of Origin,32221,Import Price Indexes,32455,Prices,Prices > Trade Indexes > Import Price Indexes > By Locality of Origin
33907,Standard International Trade Classification,32221,Import Price Indexes,32455,Prices,Prices > Trade Indexes > Import Price Indexes > Standard International Trade Classification
32224,Export Price Indexes,32220,Trade Indexes,32455,Prices,Prices > Trade Indexes > Export Price Indexes
32225,End Use Classification System,32224,Export Price Indexes,32455,Prices,Prices > Trade Indexes > Export Price Indexes > End Use Classification System
32227,By NAICS,32224,Export Price Indexes,32455,Prices,Prices > Trade Indexes > Export Price Indexes > By NAICS
32228,By Harmonized System,32224,Export Price Indexes,32455,Prices,Prices > Trade Indexes > Export Price Indexes > By Harmonized System
33905,Standard International Trade Classification,32224,Export Price Indexes,32455,Prices,Prices > Trade Indexes > Export Price Indexes > Standard International Trade Classification
32231,Services Price Indexes,32220,Trade Indexes,32455,Prices,Prices > Trade Indexes > Services Price Indexes
